Base Stats,Boosted Stat,Energy Cost
Attack Bonus,Bleed Bonus,1
Attack Bonus,Bleed Bonus,2
Attack Bonus,Block,1
Attack Bonus,Block,2
Attack Bonus,Damage Reducer,1
Attack Bonus,Damage Reducer,2
Attack Bonus,DDI,1
Attack Bonus,DDI,2
Attack Bonus,Dodge,1
Attack Bonus,Dodge,2
Attack Bonus,Escape Sub,1
Attack Bonus,Escape Sub,2
Attack Bonus,Health Points,1
Attack Bonus,Health Points,2
Attack Bonus,Iniative,1
Attack Bonus,Iniative,2
Attack Bonus,Pin Bonus,1
Attack Bonus,Pin Bonus,2
Attack Bonus,Pin Opp,1
Attack Bonus,Pin Opp,2
Attack Bonus,SDI,1
Attack Bonus,SDI,2
Attack Bonus,Stamina,1
Attack Bonus,Stamina,2
Attack Bonus,Sub Bonus,1
Attack Bonus,Sub Bonus,2
Bleed Bonus,Attack Bonus,1
Bleed Bonus,Attack Bonus,2
Bleed Bonus,Block,1
Bleed Bonus,Block,2
Bleed Bonus,Damage Reducer,1
Bleed Bonus,Damage Reducer,2
Bleed Bonus,DDI,1
Bleed Bonus,DDI,2
Bleed Bonus,Dodge,1
Bleed Bonus,Dodge,2
Bleed Bonus,Escape Sub,1
Bleed Bonus,Escape Sub,2
Bleed Bonus,Health Points,1
Bleed Bonus,Health Points,2
Bleed Bonus,Iniative,1
Bleed Bonus,Iniative,2
Bleed Bonus,Pin Bonus,1
Bleed Bonus,Pin Bonus,2
Bleed Bonus,Pin Opp,1
Bleed Bonus,Pin Opp,2
Bleed Bonus,SDI,1
Bleed Bonus,SDI,2
Bleed Bonus,Stamina,1
Bleed Bonus,Stamina,2
Bleed Bonus,Sub Bonus,1
Bleed Bonus,Sub Bonus,2
Block,Attack Bonus,1
Block,Attack Bonus,2
Block,Bleed Bonus,1
Block,Bleed Bonus,2
Block,Damage Reducer,1
Block,Damage Reducer,2
Block,DDI,1
Block,DDI,2
Block,Dodge,1
Block,Dodge,2
Block,Escape Sub,1
Block,Escape Sub,2
Block,Health Points,1
Block,Health Points,2
Block,Iniative,1
Block,Iniative,2
Block,Pin Bonus,1
Block,Pin Bonus,2
Block,Pin Opp,1
Block,Pin Opp,2
Block,SDI,1
Block,SDI,2
Block,Stamina,1
Block,Stamina,2
