Base Stats,Boosted Stat,Energy Cost
Attack Bonus,Bleed Bonus,3
Attack Bonus,Bleed Bonus,4
Attack Bonus,Bleed Bonus,5
Attack Bonus,Bleed Bonus,6
Attack Bonus,Block,3
Attack Bonus,Block,4
Attack Bonus,Block,5
Attack Bonus,Block,6
Attack Bonus,Damage Reducer,3
Attack Bonus,Damage Reducer,4
Attack Bonus,Damage Reducer,5
Attack Bonus,Damage Reducer,6
Attack Bonus,DDI,3
Attack Bonus,DDI,4
Attack Bonus,DDI,5
Attack Bonus,DDI,6
Attack Bonus,Dodge,3
Attack Bonus,Dodge,4
Attack Bonus,Dodge,5
Attack Bonus,Dodge,6
Attack Bonus,Escape Sub,3
Attack Bonus,Escape Sub,4
Attack Bonus,Escape Sub,5
Attack Bonus,Escape Sub,6
Attack Bonus,Health Points,3
Attack Bonus,Health Points,4
Attack Bonus,Health Points,5
Attack Bonus,Health Points,6
Attack Bonus,Iniative,3
Attack Bonus,Iniative,4
Attack Bonus,Iniative,5
Attack Bonus,Iniative,6
Attack Bonus,Pin Bonus,3
Attack Bonus,Pin Bonus,4
Attack Bonus,Pin Bonus,5
Attack Bonus,Pin Bonus,6
Attack Bonus,Pin Opp,3
Attack Bonus,Pin Opp,4
Attack Bonus,Pin Opp,5
Attack Bonus,Pin Opp,6
Attack Bonus,SDI,3
Attack Bonus,SDI,4
Attack Bonus,SDI,5
Attack Bonus,SDI,6
Attack Bonus,Stamina,3
Attack Bonus,Stamina,4
Attack Bonus,Stamina,5
Attack Bonus,Stamina,6
Attack Bonus,Sub Bonus,3
Attack Bonus,Sub Bonus,4
Attack Bonus,Sub Bonus,5
Attack Bonus,Sub Bonus,6
Bleed Bonus,Attack Bonus,3
Bleed Bonus,Attack Bonus,4
Bleed Bonus,Attack Bonus,5
Bleed Bonus,Attack Bonus,6
Bleed Bonus,Block,3
Bleed Bonus,Block,4
Bleed Bonus,Block,5
Bleed Bonus,Block,6
Bleed Bonus,Damage Reducer,3
Bleed Bonus,Damage Reducer,4
